name,eng_name,description,Active,Physical,RequiresFocus,Indoor,Outdoor,RequiresTravel,Solo,Group,SocialInteraction,Creative,Intellectual,Emotional,Analytical,StressRelief,CostRequired,EquipmentRequired,LearningRequired,TimeRequired,Challenging,Competitive,Rewarding,Trendy,RequiresConsistency,ManualSkill,InNature,DetailedDescription,Equipment
서핑,Surfing,"파도를 타며 바다와 하나가 되는 수상 스포츠로, 균형감각과 파도 읽기 능력이 중요하며 자연과의 교감을 통해 큰 해방감을 느낄 수 있는 취미",2,2,1,-2,2,1,1,0,0,0,0,1,-1,2,1,2,2,0,2,-1,2,2,1,-1,2,"서핑은 파도의 힘을 이용해 바다 위를 활주하는 수상 스포츠입니다.\n초보자는 먼저 해변에서 기본 자세와 패들링을 연습한 후, 작은 파도에서 시작하여 점차 큰 파도에 도전합니다.\n파도를 읽고 타이밍을 맞추는 것이 핵심이며, 바다의 컨디션(파도 높이, 바람, 조류)을 이해하는 것이 중요합니다.\n서핑 스쿨에서 전문 강사의 지도를 받으면 안전하고 효과적으로 배울 수 있습니다.\n균형감각과 코어 근력이 발달하며, 바다와의 교감을 통해 스트레스 해소와 정신적 힐링 효과를 얻을 수 있습니다.\n\n모험을 좋아하고 자연과 교감하고 싶은 사람에게 잘 맞는 취미입니다.\n1. 강한 체력과 균형감각이 필요한 고강도 운동\n2. 바다와 파도 조건에 따라 매번 다른 경험 제공\n3. 자연 환경에 완전히 의존하는 스포츠\n4. 높은 집중력과 순간 판단력 요구\n5. 초기 비용이 상당하지만 장기적으로 경제적\n6. 전 세계 서핑 스팟을 여행하며 즐길 수 있음",서핑보드(초보자용 롱보드 권장)|웻슈트(수온에 따라 두께 선택)|리쉬코드(보드와 발목 연결)|서핑 왁스(보드 미끄럼 방지)|선크림(높은 자외선 차단 지수)|래쉬가드(자외선 차단 및 찰과상 방지)|수영 고글(선택사항)|방수백(소지품 보관)|응급처치용품|샤워용품
등산 트래킹,Hiking Trekking,"자연 속에서 걷고 오르며 체력을 기르고 정신적 평온을 얻는 활동으로, 다양한 난이도의 코스를 통해 성취감과 자연의 아름다움을 동시에 경험할 수 있는 취미",1,1,0,-2,2,0,0,1,0,-1,-1,1,-1,1,-1,0,0,1,0,-1,1,0,1,-2,2,"등산은 산을 오르며 자연과 교감하고 체력을 기르는 대표적인 아웃도어 활동입니다.\n초보자는 낮은 산부터 시작하여 점차 높고 험한 산에 도전하며, 날씨와 계절을 고려한 안전한 계획이 필수입니다.\n등산로 정보를 미리 파악하고 체력에 맞는 코스를 선택하는 것이 중요하며, 응급상황에 대비한 준비도 필요합니다.\n정상 정복의 성취감과 함께 사계절 다른 자연의 모습을 감상할 수 있어 정신적 힐링 효과가 큽니다.\n꾸준한 등산을 통해 하체 근력과 심폐 지구력이 향상되며, 자연과의 교감을 통해 스트레스가 해소됩니다.\n\n자연을 사랑하고 도전정신이 있는 사람에게 잘 맞는 취미입니다.\n1. 체력 향상과 다이어트 효과가 뛰어난 전신 운동\n2. 계절과 산마다 다른 경치와 경험 제공\n3. 비교적 저렴한 비용으로 시작 가능\n4. 혼자서도 그룹으로도 즐길 수 있는 유연성\n5. 목표 설정과 달성을 통한 성취감 경험\n6. 등산 동호회를 통한 새로운 인맥 형성 기회","등산화(발목 보호 기능)|등산복(땀 배출 기능)|배낭(적정 용량 선택)|등산스틱(무릎 보호)|물통(충분한 수분 공급)|행동식(에너지바, 견과류)|헤드랜턴(야간 또는 터널용)|응급처치용품|등산지도|나침반|휴대폰 보조배터리|선크림|모자"
캠핑,Camping,"자연 속에서 하룻밤 이상 머물며 일상에서 벗어나 자연과 교감하는 활동으로, 요리부터 텐트 설치까지 다양한 기술을 익히며 힐링과 모험을 동시에 경험하는 취미",0,0,0,-2,2,1,-1,1,1,0,0,1,0,1,0,1,0,0,0,-1,1,1,0,0,2,"캠핑은 자연 속에서 하룻밤 이상 머물며 일상의 스트레스에서 벗어나는 대표적인 아웃도어 활동입니다.\n텐트 설치부터 화롯불 피우기, 야외 요리까지 다양한 기술을 익히며 자립심을 기를 수 있습니다.\n캠핑장 예약과 날씨 확인, 안전 수칙 숙지가 중요하며, 자연 보호를 위한 에티켓을 지켜야 합니다.\n가족이나 친구들과 함께하는 캠핑은 소중한 추억을 만들고 관계를 더욱 돈독하게 합니다.\n별이 가득한 밤하늘 아래에서 보내는 시간은 도시에서 경험할 수 없는 특별한 힐링을 선사합니다.\n\n자연을 좋아하고 새로운 경험을 추구하는 사람에게 잘 맞는 취미입니다.\n1. 도시 생활에서 벗어나 완전한 힐링과 휴식 제공\n2. 가족, 친구와 함께하는 소중한 시간 공유\n3. 다양한 캠핑 기술과 요리법 습득 가능\n4. 전국 각지의 아름다운 캠핑장 탐방 기회\n5. 초기 장비 투자 후 경제적인 여행 방식\n6. 자연 보호 의식과 환경 감수성 향상",텐트(인원수에 맞는 크기)|침낭(계절별 온도 등급)|매트(바닥 단열용)|캠핑체어|캠핑테이블|버너(휴대용 가스버너)|코펠(캠핑용 조리기구)|쿨러박스(음식 보관용)|랜턴(LED 권장)|헤드랜턴|캠핑용 식기세트|화로대(캠프파이어용)|장작|라이터|방충제|구급상자|휴지|물통|캠핑용 의자|방수백
승마,Horseback Riding,"말과 교감하며 함께 달리는 귀족적인 스포츠로, 균형감각과 동물에 대한 이해가 필요하며 자연 속에서 우아함과 스릴을 동시에 느낄 수 있는 취미",1,1,2,-1,1,0,1,-1,-1,-1,0,0,0,1,2,2,2,1,1,-2,2,-1,2,0,0,"승마는 말과 교감하며 함께 달리는 고급스러운 스포츠로, 오랜 역사를 가진 귀족적인 취미입니다.\n초보자는 승마장에서 전문 강사의 지도하에 말의 특성과 기본 자세부터 배우며, 점차 트롯과 갤럽까지 익힙니다.\n말과의 교감이 가장 중요하며, 말의 성격과 상태를 이해하고 존중하는 마음가짐이 필요합니다.\n균형감각과 코어 근력이 발달하며, 말과 함께하는 승마는 독특한 운동 효과와 정신적 만족감을 제공합니다.\n자연 속에서 말과 함께 달리는 경험은 일상에서 느낄 수 없는 특별한 자유로움과 우아함을 선사합니다.\n\n동물을 사랑하고 새로운 도전을 즐기는 사람에게 잘 맞는 취미입니다.\n1. 말과의 특별한 교감을 통한 정서적 안정감\n2. 균형감각과 코어 근력 향상에 탁월한 효과\n3. 귀족적이고 우아한 이미지의 고급 스포츠\n4. 자연 속에서 즐기는 독특한 운동 경험\n5. 승마 클럽을 통한 품격 있는 인맥 형성\n6. 높은 집중력과 책임감 개발","승마모(안전모)|승마복(바지, 상의)|승마부츠(발목 보호)|승마장갑(그립력 향상)|보호대(등, 무릎)|채찍(보조 도구)|고삐|안장|등자|마구|말 브러시|당근(말 간식)|물|수건|응급처치용품|선크림"
러닝,Running,"언제 어디서나 할 수 있는 가장 기본적인 유산소 운동으로, 체력 향상과 정신적 스트레스 해소에 탁월하며 목표 달성을 통한 성취감을 느낄 수 있는 취미",2,2,0,-1,1,-1,2,0,-1,-2,-1,0,-1,2,-2,-1,-1,0,0,0,1,1,2,-2,0,"러닝은 언제 어디서나 할 수 있는 가장 기본적이면서도 효과적인 유산소 운동입니다.\n초보자는 걷기부터 시작하여 점차 뛰는 시간을 늘려가며, 자신의 페이스를 찾아 꾸준히 지속하는 것이 중요합니다.\n올바른 러닝 폼과 호흡법을 익히면 부상을 예방하고 더 효율적으로 운동할 수 있습니다.\n마라톤 대회 참가나 개인 기록 단축 등 구체적인 목표를 세우면 더욱 큰 동기부여와 성취감을 얻을 수 있습니다.\n심폐 지구력 향상과 다이어트 효과가 뛰어나며, 뇌에서 분비되는 엔돌핀으로 인한 기분 전환 효과도 큽니다.\n\n건강을 중시하고 꾸준한 자기관리를 좋아하는 사람에게 잘 맞는 취미입니다.\n1. 별도의 시설이나 장비 없이 언제든 시작 가능\n2. 심폐 지구력과 하체 근력 향상에 탁월한 효과\n3. 다이어트와 체중 관리에 가장 효과적인 운동\n4. 스트레스 해소와 정신 건강 개선 효과\n5. 마라톤 등 목표 달성을 통한 성취감 경험\n6. 러닝 크루 참여를 통한 건전한 인맥 형성","러닝화(쿠셔닝 기능)|운동복(땀 배출 소재)|스포츠브라(여성용)|러닝워치(거리, 페이스 측정)|이어폰(무선 권장)|물병(수분 보충용)|러닝벨트(소지품 보관)|선크림|모자|선글라스|타올|스포츠음료|에너지젤|심박계|러닝 앱"
라이딩,Riding,"자전거나 오토바이를 타고 도로나 산길을 달리는 활동으로, 속도감과 자유로움을 느끼며 새로운 장소를 탐험하고 체력도 기를 수 있는 취미",1,1,1,-2,2,1,1,0,0,-1,0,0,0,1,0,1,1,0,1,-1,1,1,1,-1,1,"라이딩은 자전거나 오토바이를 타고 다양한 코스를 달리며 속도감과 자유로움을 만끽하는 활동입니다.\n자전거 라이딩은 친환경적이고 건강에 좋으며, 오토바이 라이딩은 더 큰 스릴과 원거리 여행이 가능합니다.\n안전장비 착용과 교통법규 준수가 필수이며, 날씨와 도로 상황을 항상 고려해야 합니다.\n도심부터 산악지대, 해안도로까지 다양한 코스를 탐험하며 새로운 장소를 발견하는 재미가 있습니다.\n라이딩 동호회 활동을 통해 같은 취미를 가진 사람들과 함께 투어를 즐기며 우정을 나눌 수 있습니다.\n\n모험을 좋아하고 자유로운 영혼을 가진 사람에게 잘 맞는 취미입니다.\n1. 바람을 맞으며 느끼는 극한의 자유로움과 해방감\n2. 새로운 장소와 경치를 탐험하는 여행의 즐거움\n3. 자전거는 친환경적이고 경제적인 이동 수단\n4. 하체 근력과 심폐 지구력 향상 효과\n5. 라이딩 그룹을 통한 활동적인 인맥 형성\n6. 계절과 날씨에 따른 다양한 라이딩 경험",자전거/오토바이|헬멧(안전 필수)|라이딩복(보호 기능)|장갑(그립감 향상)|라이딩화(발목 보호)|선글라스|백팩(라이딩용)|수리도구|펌프|예비 튜브|체인오일|물병|에너지바|휴대폰거치대|내비게이션|응급처치용품|우비|보조배터리
요트 보트,Yacht Boat,"바다나 호수에서 배를 조종하며 항해하는 활동으로, 바람과 물의 흐름을 읽는 기술이 필요하며 자연과의 조화 속에서 우아함과 모험을 경험하는 취미",1,0,1,-2,2,1,0,1,0,0,1,0,1,1,2,2,2,1,1,-2,2,0,0,0,2,"요트나 보트를 이용한 항해는 바다나 호수에서 바람과 물의 힘을 이용해 이동하는 우아한 수상 활동입니다.\n항해술과 기상 지식을 익혀야 하며, 바람의 방향과 세기, 조류와 파도를 읽는 능력이 중요합니다.\n보트 면허 취득이 필요하고, 안전 수칙과 항해 에티켓을 반드시 숙지해야 합니다.\n푸른 바다 위에서의 항해는 일상에서 경험할 수 없는 평온함과 자유로움을 제공합니다.\n선셋 크루즈나 낚시와 결합한 활동 등 다양한 방식으로 즐길 수 있어 매력적입니다.\n\n바다를 사랑하고 여유로운 라이프스타일을 추구하는 사람에게 잘 맞는 취미입니다.\n1. 바다 위에서 느끼는 극한의 평온함과 자유로움\n2. 바람과 물의 자연 에너지를 활용하는 친환경 활동\n3. 항해술과 기상 지식 등 전문 기술 습득\n4. 럭셔리하고 품격 있는 레저 활동\n5. 요트 클럽을 통한 상류층 인맥 형성 기회\n6. 해안 도시 여행과 연계한 특별한 경험",요트/보트|구명조끼(필수 안전장비)|항해 지도|GPS 내비게이션|라디오(비상 연락용)|로프|앵커|구급상자|플레어(비상 신호용)|선글라스|선크림|모자|방수백|망원경|낚시도구|쿨러박스|음료수|간식|배터리|충전기
보드 인라인,Board Inline Skating,"바퀴가 달린 보드나 인라인스케이트로 활주하는 활동으로, 균형감각과 기술 연마를 통해 스타일리시한 움직임과 스릴을 동시에 경험할 수 있는 취미",2,1,1,0,1,-1,1,0,0,1,-1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,"보드나 인라인스케이트는 바퀴의 힘으로 활주하며 스타일리시한 움직임을 즐기는 도시형 스포츠입니다.\n스케이트보드, 롱보드, 인라인스케이트 등 다양한 종류가 있으며, 각각 다른 매력과 기술을 제공합니다.\n균형감각과 중심 이동 기술이 핵심이며, 넘어지는 법부터 배워 안전하게 즐기는 것이 중요합니다.\n트릭 연습을 통해 개성 있는 스타일을 개발할 수 있고, 스케이트 파크에서 다양한 기술에 도전할 수 있습니다.\n도심 곳곳을 누비며 이동하는 재미와 함께 운동 효과도 얻을 수 있는 실용적인 취미입니다.\n\n젊은 감각과 개성을 중시하는 사람에게 잘 맞는 취미입니다.\n1. 스타일리시하고 개성 넘치는 도시형 스포츠\n2. 이동 수단으로도 활용 가능한 실용성\n3. 균형감각과 코어 근력 향상에 효과적\n4. 다양한 트릭과 기술 개발의 재미\n5. 스케이트 파크에서의 커뮤니티 활동\n6. 비교적 저렴한 비용으로 시작 가능",보드/인라인스케이트|헬멧(머리 보호)|무릎보호대|팔꿈치보호대|손목보호대|운동화(그립감 좋은)|편한 옷(움직임 자유로운)|백팩|물병|타올|선크림|응급처치용품|여분 바퀴|베어링|도구세트|휴대폰|이어폰
다이빙,Diving,"수중 세계를 탐험하며 바다 생물들과 만나는 활동으로, 안전 수칙과 장비 사용법을 익혀 평소 볼 수 없는 신비로운 바다 속 경험을 하는 취미",0,1,2,-2,2,2,1,0,0,0,0,1,0,0,2,2,2,1,0,-2,2,0,1,0,2,"스쿠버다이빙은 수중 호흡장치를 이용해 바다 속 세계를 탐험하는 신비로운 활동입니다.\n다이빙 자격증 취득이 필수이며, 수중 안전 규칙과 장비 사용법을 철저히 익혀야 합니다.\n버디 시스템으로 항상 파트너와 함께 다이빙하며, 수중에서의 의사소통 방법도 중요합니다.\n산호초, 난파선, 수중 동굴 등 다양한 다이빙 포인트에서 각기 다른 매력을 경험할 수 있습니다.\n바다 생물들과의 만남과 수중 사진 촬영을 통해 특별한 추억을 만들 수 있습니다.\n\n모험을 좋아하고 자연의 신비를 탐구하고 싶은 사람에게 잘 맞는 취미입니다.\n1. 지상에서 볼 수 없는 신비로운 수중 세계 탐험\n2. 형형색색의 바다 생물들과의 특별한 만남\n3. 전 세계 유명 다이빙 포인트 여행 기회\n4. 무중력 상태에서 느끼는 독특한 경험\n5. 다이빙 로그북을 통한 경험 기록과 성장\n6. 수중 사진/영상 촬영을 통한 창작 활동",다이빙 슈트(웻슈트)|마스크|스노클|핀|레귤레이터|BCD(부력조절기)|공기통|다이빙 컴퓨터|수중 랜턴|다이빙 나이프|수중 카메라|로그북|다이빙 백|수건|샴푸|로션|선크림|구급상자|다이빙 자격증
스키 스노우보드,Ski Snowboard,"눈 덮인 슬로프를 미끄러져 내려오는 겨울 스포츠로, 균형감각과 기술이 필요하며 설산의 아름다운 경치와 함께 스릴 넘치는 속도감을 경험하는 취미",2,2,1,-2,2,2,0,1,0,0,0,1,0,1,1,1,2,1,1,-1,2,1,0,0,2,"스키와 스노우보드는 눈 덮인 슬로프를 미끄러져 내려오며 겨울의 매력을 만끽하는 대표적인 윈터 스포츠입니다.\n초보자는 스키장의 초급 슬로프에서 강사의 지도를 받으며 기본기부터 차근차근 익혀야 합니다.\n균형감각과 무게 중심 이동이 핵심 기술이며, 넘어지는 방법과 안전 수칙도 반드시 숙지해야 합니다.\n파우더 스노우부터 아이싱 슬로프까지 다양한 설질에서 각기 다른 재미를 경험할 수 있습니다.\n설산의 아름다운 경치와 함께 스릴 넘치는 속도감을 즐기며, 겨울철만의 특별한 레저를 경험합니다.\n\n스릴을 좋아하고 겨울 스포츠에 관심이 많은 사람에게 잘 맞는 취미입니다.\n1. 겨울철에만 즐길 수 있는 시즌 스포츠의 특별함\n2. 설산의 아름다운 경치와 함께하는 낭만적 경험\n3. 스릴 넘치는 속도감과 성취감 동시 경험\n4. 전신 근육 사용으로 뛰어난 운동 효과\n5. 스키장에서의 아프레스키 문화 즐기기\n6. 겨울 휴가지 여행과 연계한 특별한 경험","스키/스노우보드|스키화/보드화|스키복(방수, 방풍)|장갑(방수 기능)|고글(자외선 차단)|헬멧(안전모)|목워머|스키양말|핫팩|선크림(설맹 방지)|리프트권|로커(짐 보관)|응급처치용품|보온병|간식|스키왁스|도구세트"
