hobby,user_desc,eng_name
"축구","이 사용자는 신체 활동을 즐기고 사회적 소속감을 중요하게 생각합니다. 모험과 경쟁심이 있으며 스트레스 해소와 성취를 중시합니다. 집중력이 좋고 디지털 도구 활용에도 능숙합니다. 즉흥적인 활동을 선호하며 트렌드에는 다소 둔감합니다. 팀 활동과 실질적인 결과를 선호합니다. 꾸준함과 성장에 대한 욕구가 있습니다. 이 사람의 취미는 축구 입니다.",Soccer
"음악감상","이 사용자는 신체 활동을 선호하지 않으며 사회적 소속감에 대한 욕구가 보통입니다. 모험과 경쟁에는 관심이 적고 스트레스 해소가 중요한 동기입니다. 디지털 도구 활용에 흥미가 있으며 즉흥적인 활동을 선호합니다. 집중력과 트렌드 감각은 낮은 편입니다. 성장이나 인정보다는 편안함과 휴식을 중시합니다. 몰입보다는 가벼운 여가를 선호합니다. 이 사람의 취미는 음악감상 입니다.",Listening to Music
"게임","이 사용자는 신체 활동과 사회적 소속감, 경쟁심이 모두 강한 편입니다. 스트레스 해소와 몰입, 실질적 결과를 중시합니다. 트렌드에도 민감하고 디지털 도구 사용을 좋아합니다. 장시간 몰입하는 활동을 선호하며 인정을 필요로 합니다. 집중력은 다소 낮은 편이나 즉흥적인 활동을 좋아합니다. 성장보다는 현재의 재미와 성취에 더 집중합니다. 이 사람의 취미는 게임 입니다.",Game
"게임","이 사용자는 신체 활동과 사회적 소속감이 높고 모험과 창의성도 중요하게 생각합니다. 경쟁심이 강하고 스트레스 해소와 성취를 중시합니다. 디지털 도구 활용과 트렌드 감각이 뛰어납니다. 즉흥적인 활동을 선호하며 집중력은 보통입니다. 몰입과 실질적인 결과를 선호합니다. 다양한 경험을 추구합니다. 이 사람의 취미는 게임 입니다.",Game
"풋살","이 사용자는 신체 활동과 사회적 소속감, 모험, 창의성, 경쟁심이 모두 매우 높습니다. 스트레스 해소와 성장, 인정을 중시합니다. 집중력과 트렌드 감각은 평균이며 장시간 몰입과 디지털 도구 활용에는 소극적입니다. 활동의 결과보다는 과정과 경험을 중시합니다. 즉흥적인 활동보다는 계획적인 활동을 선호합니다. 실질적인 성취와 팀워크를 중요하게 생각합니다. 이 사람의 취미는 풋살 입니다.",Futsal
"게임","이 사용자는 신체 활동과 사회적 소속감이 보통이며 경쟁심이 강합니다. 스트레스 해소와 성장, 인정을 중시합니다. 디지털 도구 활용과 트렌드 감각이 뛰어납니다. 즉흥적인 활동을 선호하며 집중력은 보통입니다. 몰입과 실질적인 결과를 선호합니다. 다양한 경험을 추구합니다. 이 사람의 취미는 게임 입니다.",Game
"게임","이 사용자는 신체 활동과 사회적 소속감이 낮지만 창의성과 경쟁심, 성장, 인정을 중시합니다. 디지털 도구 활용과 몰입에 능숙합니다. 트렌드에는 민감하지 않으며 즉흥적 활동은 선호하지 않습니다. 집중력은 보통이고 자기계발에 관심이 많습니다. 예술적 감각과 창의적 표현을 중요시합니다. 결과물 제작과 자기만의 시간을 중시합니다. 이 사람의 취미는 게임 입니다.",Game
"배구","이 사용자는 신체 활동과 사회적 소속감이 높고 모험과 창의성도 중요하게 생각합니다. 경쟁심이 강하고 스트레스 해소와 인정을 중시합니다. 디지털 도구 활용과 장시간 몰입에는 관심이 낮은 편입니다. 트렌드에 둔감하며 즉흥적인 활동을 선호하지 않습니다. 성장과 실질적 결과보다는 경험을 중시합니다. 집중력은 보통이고 팀 활동을 선호합니다. 이 사람의 취미는 배구 입니다.",Volleyball
"헬스","이 사용자는 신체 활동과 사회적 소속감이 보통이며 성장과 인정을 중시합니다. 디지털 도구와 트렌드에 민감하고 집중력도 좋은 편입니다. 실질적 결과와 장시간 몰입을 선호합니다. 즉흥적 활동보다는 계획적인 활동에 더 끌립니다. 스트레스 해소와 자기계발에 관심이 많습니다. 경쟁심은 보통이고 꾸준함을 중요시합니다. 이 사람의 취미는 헬스 입니다.",Fitness
"프라모델조립","이 사용자는 신체 활동은 낮으나 사회적 소속감이 높고 창의성과 경쟁심, 성장, 인정 모두 높습니다. 디지털 도구와 몰입, 실질적 결과를 중시합니다. 트렌드에는 민감하지 않으며 즉흥적 활동은 선호하지 않습니다. 집중력은 보통이고 스트레스 해소가 중요한 동기입니다. 세밀한 작업과 결과물을 만드는 것을 좋아합니다. 자기만의 시간을 중시하며 조용한 환경을 선호합니다. 이 사람의 취미는 프라모델조립 입니다.",Plastic Model Assembly
